Drug Take-Back Site,Address,City,State,Zip Code,County,Phone Number,Hours of Availability,Location,Georeferenced Latitude & Longitude,Latitude,Longitude,Attention,Grant Owned,Box Status,Status
Kutztown Police Department,45 Railroad Street,Kutztown,PA,19530,Berks,(610)683-3545,Monday to Friday 8am – 4:30pm,"45 Railroad Street
Kutztown, PA 19530
(40.52082, -75.77637)",POINT (-75.7760687 40.5207809),40.5207809,-75.7760687,Chief Craig M. Summers,No,Operational,Active
Amity Twp. Police Department,2004 Weavertown Road,Douglassville,PA,19518,Berks,(610)689-6002,Monday to Friday 8 am -5 pm,"2004 Weavertown Road
Douglassville, PA 19518
(40.29937, -75.73797)",POINT (-75.738629 40.298305),40.298305,-75.738629,Chief Kent Shuebrook,No,Operational,Active
Marple Township Police Department,1001 Sussex Blvd,Broomall,PA,19008,Delaware,(610)356-1500,24 hours a day/ 7 days a week,"1001 Sussex Blvd
Broomall, PA 19008
(39.95853, -75.34107)",POINT (-75.3562885 39.9621375),39.9621375,-75.3562885,,No,Operational,Active
Jenkintown Police Dept.,700 Summit Avenue,Jenkintown,PA,19046,Montgomery,(215)884-1202,unknown,"700 Summit Avenue
Jenkintown, PA 19046
(40.09435, -75.12651)",POINT (-75.12662 40.09409),40.09409,-75.12662,Chief Albert DiValentino,Yes,ordered 4-26-16,Active
Borough of Grove City Police Dept.,337 East Pine Street,Grove City,PA,16127,Mercer,(724)458-7925,M-F 10am-2pm.,"337 East Pine Street
Grove City, PA 16127
(41.15875, -80.07921)",POINT (-80.0794349 41.158662),41.158662,-80.0794349,Chief Dean E. Osborne,Yes,Operational,Active
Philadelphia Police Dept.-15th Police District,2831 Levick Street,Philadelphia,PA,19149,Philadelphia,215-686-3150,,"2831 Levick Street
Philadelphia, PA 19149
(40.03256, -75.064)",POINT (-75.064148 40.032065),40.032065,-75.064148,,Yes,Operational,Active
Fulton County Sheriff Office,207 North 2nd Street,McConnellsburg,PA,17233,Fulton,7174854221,,"207 North 2nd Street
McConnellsburg, PA 17233
(39.9344, -77.99801)",POINT (-77.99806 39.93432),39.93432,-77.99806,"Keith B. Stains, Sheriff",Yes,Operational,Active
Ross Township Police Dept.,1000 Ross Municipal Drive,Pittsburgh,PA,15237,Allegheny,(412)931-9070,,"1000 Ross Municipal Drive
Pittsburgh, PA 15237
(40.51632, -80.00748)",POINT (-80.006592 40.515931),40.515931,-80.006592,Chief Joseph Ley,Yes,,Active
Upper Providence Twp. Police Dept.,1286 Black Rock Road,Oaks,PA,19456,Montgomery,(610)933-7899,M-F 8am-8pm,,POINT (-75.45548 40.1331104),40.1331104,-75.45548,Chief Mark Toomey,Yes,Operational,Active
City of Saint Marys Police Dept.,319 Erie Avenue,Saint Marys,PA,15857,Elk,(814)781-1315,24/7,"319 Erie Avenue
Saint Marys, PA 15857
(41.43017, -78.55711)",POINT (-78.557362 41.430394),41.430394,-78.557362,Chief Thomas Nicklas,Yes,,Active
State Police-Troop K / Media,1342 W Baltimore Pike,Media,PA,19063,Delaware,,,"1342 W Baltimore Pike
Media, PA 19063
(39.90804, -75.45005)",POINT (-75.451386 39.906359),39.906359,-75.451386,,No,,Active
Neshannock Township Police,3131 Mercer Rd.,New Castle,PA,16105,Lawrence,(724) 658-5631,,"3131 Mercer Rd.
New Castle, PA 16105
(41.05069, -80.33373)",POINT (-80.335472 41.050941),41.050941,-80.335472,,No,,Active
Borough of Crafton Police Dept.,100 Stotz Avenue,Crafton,PA,15205,Allegheny,(412)921-2016,"M-F, 8:30am-5pm","100 Stotz Avenue
Crafton, PA 15205
(40.43467, -80.06649)",POINT (-80.066555 40.434835),40.434835,-80.066555,Chief Mark Sumpter,Yes,Ordered 4-26-16,Active
Mifflin County Sheriff's Office,20 North Wayne Street,Lewistown,PA,17044,Mifflin,(717)242-1105,,"20 North Wayne Street
Lewistown, PA 17044
(40.59741, -77.57666)",POINT (-77.57647 40.596773),40.596773,-77.57647,Sheriff Christopher Shade,Yes,,Active
Grand View Health  Hospital Main Lobby,700 Lawn Avenue,Sellersville,PA,18960,Bucks,,5:00am -8:00pm,"700 Lawn Avenue
Sellersville, PA 18960
(40.36258, -75.32419)",POINT (-75.3271409 40.3624445),40.3624445,-75.3271409,,Yes,active,Active
"CVS PHARMACY, L.L.C. # 00858 (ALLENTOWN)",315 WEST EMAUS AVENUE,ALLENTOWN,PA,18103,Lehigh,,,"315 WEST EMAUS AVENUE
ALLENTOWN, PA 18103
(40.57818, -75.4543)",POINT (-75.454227 40.57858),40.57858,-75.454227,,No,Pharmacy,Active
Walgreens Pharmacy (Levittown Area),8500 NEW FALLS RD,LEVITTOWN,PA,19054,Bucks,(215) 943-3694,,"8500 NEW FALLS RD
LEVITTOWN, PA 19054
(40.16579, -74.8407)",POINT (-74.84089 40.165659),40.165659,-74.84089,,No,Pharmacy,Active
CVS #1309,250 S. COURTLAND ST.,EAST STROUDSBURG,PA,18301,"MONROE,PA",5704240830,Follows Pharmacy Hours of Operation,"250 S. COURTLAND ST.
EAST STROUDSBURG, PA 18301
(40.99531, -75.18237)",POINT (-75.18208 40.995126),40.995126,-75.18208,,No,Pharmacy,Active
State Police-Troop G / Rockview,745 S Eagle Valley Rd.,Bellefonte,PA,16823,Centre,,,"745 S Eagle Valley Rd.
Bellefonte, PA 16823
(40.93612, -77.81063)",POINT (-77.810392 40.935629),40.935629,-77.810392,,No,,Active
Hazleton City Police Dept. Headquarters,40 North Church Street,Hazleton,PA,18201,Luzerne,(570)459-4940,M-F 8am-4:30pm.,"40 North Church Street
Hazleton, PA 18201
(40.95611, -75.9764)",POINT (-75.9768695 40.9562348),40.9562348,-75.9768695,Off. James Senape,Yes,Operational,Active
"PA Fish and Boat Commission | Bureau of Outreach, Education & Marketing",1601 Elmerton Ave.,Harrisburg,PA,17110-9299,Dauphin,717.705.7800,M-F 8 a.m. – 4 p.m.,"1601 Elmerton Ave.
Harrisburg, PA 17110-9299
(40.2928, -76.86154)",POINT (-76.861756 40.292385),40.292385,-76.861756,Eric Levis | Communications Director,No,,Active
Caernarvon Twp. Police Department,3307 Main Street,Morgantown,PA,19543,Berks,(610)286-1012,"Monday to Friday 8 am-4pm, except holidays","3307 Main Street
Morgantown, PA 19543
(40.15601, -75.8868)",POINT (-76.063219 40.114175),40.114175,-76.063219,Chief Paul R Stolz,No,Operational,Active
Conneaut Lake Regional Police Dept.,9878 State Highway 285,Conneaut Lake,PA,16316,Crawford,(814)382-4364,24 hours a day 7 days a week,"9878 State Highway 285
Conneaut Lake, PA 16316
(41.60432, -80.33341)",POINT (-80.3130843 41.6034754),41.6034754,-80.3130843,Chief Todd Pfeifer,Yes,Operational,Active
State Police-Troop B / Pittsburgh,449 McCormick Rd.,Moon Township,PA,15108,Allegheny,,,"449 McCormick Rd.
Moon Township, PA 15108
(40.47942, -80.19406)",POINT (-80.194244 40.478861),40.478861,-80.194244,,No,,Active
Trainer Borough Police,824 Main St.,Marcus Hook,PA,19061,Delaware,,,"824 Main St.
Marcus Hook, PA 19061
(39.82937, -75.40732)",POINT (-75.407908 39.82971),39.82971,-75.407908,,No,,Active
Riddle Hospital,1068 W. Baltimore Ave.,Media,PA,19063,Delaware,,,"1068 W. Baltimore Ave.
Media, PA 19063
(39.91281, -75.43081)",POINT (-75.43089 39.912715),39.912715,-75.43089,,No,,Active
CVS #1597,101 NORTH STATE STREET,CLARKS SUMMIT,PA,18411,"LACKAWANNA,PA",5705871205,Follows Pharmacy Hours of Operation,"101 NORTH STATE STREET
CLARKS SUMMIT, PA 18411
(41.49582, -75.70567)",POINT (-75.705983 41.495702),41.495702,-75.705983,,No,Pharmacy,Active
Leetsdale Police Dept.,"373 Beaver Street, Suite B",Leetsdale,PA,15056,Allegheny,(724)266-4820 Ord 7/29/16,,"373 Beaver Street, Suite B
Leetsdale, PA 15056
(40.56643, -80.20934)",POINT (-80.209041 40.566095),40.566095,-80.209041,Ms. Jennifer Simek,Yes,,Active
Cumberland Twp. Police Dept,100 Municipal Road,Carmichaels,PA,15320,Greene,(724)966-8296,24/7,"100 Municipal Road
Carmichaels, PA 15320
(39.899, -79.96524)",POINT (-79.966045 39.897301),39.897301,-79.966045,Chief Craig T. Miller,No,Unknown,Active
Weis Markets - Duryea,70 Phoenix St.,Duryea,PA,18642,Luzerne,570-451-6390,Monday – Friday: 9 a.m. – 9 p.m./Saturday: 9 a.m. – 6 p.m./Sunday: 10 a.m. – 2 p.m.,"70 Phoenix St.
Duryea, PA 18642
(41.34763, -75.77324)",POINT (-75.769233 41.347977),41.347977,-75.769233,,No,Pharmacy,Active
Catasauqua Police Dept.,118 Bridge Street,Catasauqua,PA,18032-2598,Lehigh,(610)264-0577,"M-F 8am-4pm, except holidays.","118 Bridge Street
Catasauqua, PA 18032-2598
(40.65369, -75.4742)",POINT (-75.4744 40.653829),40.653829,-75.4744,Chief Douglas Kish,Yes,Operational,Active
State Police-Troop C / Ridgway,48 Servidea Dr.,Ridgway,PA,15853,Elk,,,"48 Servidea Dr.
Ridgway, PA 15853
(41.40375, -78.70311)",POINT (-78.702564 41.403797),41.403797,-78.702564,,No,,Active
CVS #53,590 PALMYRA TWNSHP/RTE 6/LAKE REGION CTR,HAWLEY,PA,18428,"WAYNE,PA",5702266550,Follows Pharmacy Hours of Operation,"590 PALMYRA TWNSHP/RTE 6/LAKE REGION CTR
HAWLEY, PA 18428
(41.52079, -75.20173)",POINT (-75.180693 41.46421),41.46421,-75.180693,,No,Pharmacy,Active
East Earl Township Police Dept.,128 Toddy Drive,East Earl,PA,17519,Lancaster,(717)355-5302,M-F 6am-5pm or call 717-354-2211 for 24 hour access,"128 Toddy Drive
East Earl, PA 17519
(40.11734, -76.03094)",POINT (-76.030852 40.117398),40.117398,-76.030852,"Chief Kevin C. McCarthy, Sr.",Yes,Operational,Active
Upper Nazareth Township Police Dept.,100 Newport Avenue,Nazareth,PA,18064,Northampton,(610)759-7448,,"100 Newport Avenue
Nazareth, PA 18064
(40.7523, -75.29765)",POINT (-75.297689 40.752115),40.752115,-75.297689,Sgt. William M. Cope,Yes,,Active
Lock Haven City Police Dept.,20 East Church Street,Lock Haven,PA,17745,Clinton,(570)893-5911,,"20 East Church Street
Lock Haven, PA 17745
(41.13635, -77.44831)",POINT (-77.448374 41.136041),41.136041,-77.448374,Chief Keith Kibler,Yes,,Active
Bucks County Justice Center,100 North Main Street,Doylestown,PA,18901,Bucks,(215)348-6000,,"100 North Main Street
Doylestown, PA 18901
(40.31206, -75.13135)",POINT (-75.130857 40.312297),40.312297,-75.130857,,No,Operational,Active
Sugarcreek Borough Police Dept.,212 Fox Street,Franklin,PA,16323,Venango,(814)437-3703,M-F 8am-4pm.,"212 Fox Street
Franklin, PA 16323
(41.40801, -79.82656)",POINT (-79.826606 41.407867),41.407867,-79.826606,Chief Matthew Carlson,Yes,Operational,Active
JAMESTOWN PHARMACY,121 LIBERTY STREET,JAMESTOWN,PA,16134,Mercer,,,"121 LIBERTY STREET
JAMESTOWN, PA 16134
(41.48441, -80.44081)",POINT (-80.440657 41.484336),41.484336,-80.440657,,No,Pharmacy,Active
CVS #974,1601 W. LIBERTY STREET,ALLENTOWN,PA,18102,"LEHIGH,PA",6108209737,Follows Pharmacy Hours of Operation,"1601 W. LIBERTY STREET
ALLENTOWN, PA 18102
(40.60419, -75.49406)",POINT (-75.494051 40.604248),40.604248,-75.494051,,No,Pharmacy,Active
HOSPITAL OF THE UNIV OF PA (PHARMACY SERVICE),3400 SPRUCE STREET,PHILADELPHIA,PA,19104,Philadelphia,,,"3400 SPRUCE STREET
PHILADELPHIA, PA 19104
(39.95049, -75.19293)",POINT (-75.193131 39.950044),39.950044,-75.193131,,No,Pharmacy,Active
McSherrystown Police Dept.,336 Main Street,McSherrystown,PA,17344,Adams,(717)637-1775,,"336 Main Street
McSherrystown, PA 17344
(39.80393, -77.01917)",POINT (-77.019183 39.803777),39.803777,-77.019183,Chief Michael Woods,Yes,,Active
Brookhaven Police Department,#2 Cambridge Road,Brookhaven,PA,19015,Delaware,,Please contact location,"#2 Cambridge Road
Brookhaven, PA 19015
(39.87708, -75.39199)",POINT (-75.3919976 39.8766247),39.8766247,-75.3919976,,No,Operational,Active
Perry County Sheriff's Office / Courthouse (Lobby area),2 East Main Street,New Bloomfield,PA,17068,Perry,(717)582-5123,M-F 8 am - 4 pm,"2 East Main Street
New Bloomfield, PA 17068
(40.41987, -77.18691)",POINT (-77.1876039 40.420045),40.420045,-77.1876039,Sheriff Carl E. Nace,Yes,Operational,Active
Allegheny Township Police Dept.,136 Community Building Rd.,Leechburg,PA,15656-9805,Westmoreland,(724)845-9410,24 hours/7 days a week.,"136 Community Building Rd.
Leechburg, PA 15656-9805
(40.60925, -79.60956)",POINT (-79.610234 40.6094729),40.6094729,-79.610234,Chief John Fontaine,Yes,Operational,Active
"CVS PHARMACY, L.L.C. # 01913 (PHILADELPHIA)",1405 SOUTH 10TH STREET,PHILADELPHIA,PA,19147,Philadelphia,,,"1405 SOUTH 10TH STREET
PHILADELPHIA, PA 19147
(39.93144, -75.16087)",POINT (-75.16051 39.931496),39.931496,-75.16051,,No,Philadelphia,Active
Sullivan County Courthouse,245 Muncy Street,Laporte,PA,18626,Sullivan,570-946-7361,unknown,"245 Muncy Street
Laporte, PA 18626
(41.42364, -76.49402)",POINT (-76.493837 41.423708),41.423708,-76.493837,Sheriff Mary Handzus,No,,Active
Geisinger Community Medical Center (GCMC) - Colfax Avenue entrance,1800 Mulberry St.,Scranton,PA,18510,Lackawanna,,Monday - Friday: 8 a.m. – 6 p.m.,"1800 Mulberry St.
Scranton, PA 18510
(41.40049, -75.6462)",POINT (-75.646084 41.400206),41.400206,-75.646084,,No,Pharmacy,Active
Newton Township Police Department,209 Bishop Hollow Rd,Newtown Square,PA,19073,Delaware,,Please contact location,"209 Bishop Hollow Rd
Newtown Square, PA 19073
(39.98125, -75.40785)",POINT (-75.4078318 39.9806649),39.9806649,-75.4078318,,No,Operational,Active
Wind Gap Boro Police Department,29 Mechanic Street,Wind Gap,PA,18091,Northampton,610-759-8517,8:00 a.m. - 4:00 p.m.,"29 Mechanic Street
Wind Gap, PA 18091
(40.84713, -75.293)",POINT (-75.293196 40.846976),40.846976,-75.293196,Pat Stonaker,No,Operational,Active
Bloomsburg Police Dept.,301 East Second Street,Bloomsburg,PA,17815,Columbia,(570)784-4155,M-F 8:30 am - 12 midnight,"301 East Second Street
Bloomsburg, PA 17815
(41.00458, -76.45337)",POINT (-76.4535179 41.0047226),41.0047226,-76.4535179,Acting Chief Roger Van Loan,Yes,Operational,Active
South Fayette Township Police Dept.,515 Millers Run Road,South Fayette,PA,15064,Allegheny,(412)221-8700,"M-F, 8am-4:30pm","515 Millers Run Road
South Fayette, PA 15064
(40.35493, -80.14319)",POINT (-80.143416 40.355052),40.355052,-80.143416,Chief John Phoennik,Yes,ordered 4-26-16,Active
Lower Southampton Twp Police,1500 Desire Avenue,Feasterville,PA,19053,Bucks,(215)357-1235,M-F 8:15-4:45,"1500 Desire Avenue
Feasterville, PA 19053
(40.15566, -74.99212)",POINT (-74.9923101 40.1555065),40.1555065,-74.9923101,,No,Operational,Active
CareSite Pharmacy - GWV,1000 East Mountain Drive,Wilkes-Barre,PA,18711,Luzerne,570-808-7969,Monday - Friday: 9 a.m. – 6 p.m. / Saturday: 9 a.m. – 1 p.m.,"1000 East Mountain Drive
Wilkes-Barre, PA 18711
(41.25785, -75.8089)",POINT (-75.807252 41.255167),41.255167,-75.807252,,No,Pharmacy,Active
Salisbury Township Police Dept.,3000 S. Pike Avenue,Allentown,PA,18036,Lehigh,(610)398-0337,M-F 8am-4pm and by appointment.,"3000 S. Pike Avenue
Allentown, PA 18036
(40.56509, -75.45013)",POINT (-75.4503837 40.5704178),40.5704178,-75.4503837,Chief Allen W. Stiles,Yes,Operational,Active
Ferndale Borough Police Department,109 Station Street,Johnstown,PA,15905,Cambria,,,"109 Station Street
Johnstown, PA 15905
(40.28944, -78.91491)",POINT (-78.9144 40.289188),40.289188,-78.9144,,No,,Active
DuBois City Police Department,16 West Scribner Avenue,DuBois,PA,15801,Clearfield,814-371-2326,,"16 West Scribner Avenue
DuBois, PA 15801
(41.11953, -78.76149)",POINT (-78.761174 41.119796),41.119796,-78.761174,,No,Operational,Active
CVS #3062,3192 ROUTE 115,EFFORT,PA,18330,"MONROE,PA",5706882302,Follows Pharmacy Hours of Operation,"3192 ROUTE 115
EFFORT, PA 18330
(40.97738, -75.44546)",POINT (-75.44476 40.977418),40.977418,-75.44476,,No,Pharmacy,Active
Reading Police Department,815 Washington Street,Reading,PA,19601,Berks,(610)655-6116,24 hours a day/7 days a week,"815 Washington Street
Reading, PA 19601
(40.33687, -75.9212)",POINT (-75.9212318 40.3368821),40.3368821,-75.9212318,Chief Bill Heim,No,Operational,Active
West Shore Regional Police Dept.,510 Herman Avenue,Lemoyne,PA,17043,Cumberland,(717)737-8734,M-F 8:30am-3:30pm,"510 Herman Avenue
Lemoyne, PA 17043
(40.24159, -76.89398)",POINT (-76.8939399 40.2413503),40.2413503,-76.8939399,Chief Michael L. Hope,Yes,Operational,Active
Montgomery’s Pharmacy,21 S. Main St.,Montgomery,PA,17752,Lycoming,,"Monday, Tuesday, Thursday: 9 am- 5 p.m./ Friday: 9 am- 6 pm / Saturday 9 a.m.- noon","21 S. Main St.
Montgomery, PA 17752
(41.17007, -76.87657)",POINT (-76.876592 41.170107),41.170107,-76.876592,,No,Pharmacy,Active
Walgreens Pharmacy (Warminister Location),10 YORK RD.,Warminister,PA,18974,Bucks,215–956–2834,,"10 YORK RD.
Warminister, PA 18974
(40.19122, -75.10359)",POINT (-75.103802 40.191061),40.191061,-75.103802,,No,,Active
Kennett Square Police Dept.,115 North Broad Street,Kennett Square,PA,19348,Chester,(610)444-0501,M-F 8:30-4:30,"115 North Broad Street
Kennett Square, PA 19348
(39.84774, -75.71084)",POINT (-75.710586 39.8478104),39.8478104,-75.710586,Chief Edward A. Zunino,Yes,Operational,Active
Murrysville Police Dept.,4120 Sardis Road,Murrysville,PA,15668,Westmoreland,(724)327-2111,M-F 6 am to Midnight,"4120 Sardis Road
Murrysville, PA 15668
(40.45458, -79.66785)",POINT (-79.6646369 40.4579319),40.4579319,-79.6646369,Chief Thomas P. Seefeld,Yes,Operational,Active
Shippensburg Borough Police Dept.,60 West Burd Street,Shippensburg,PA,17257,Cumberland,(717)532-7361,M-F 8am-4pm,"60 West Burd Street
Shippensburg, PA 17257
(40.05113, -77.5234)",POINT (-77.5229909 40.0515243),40.0515243,-77.5229909,Chief Fred Scott,Yes,Operational,Active
TJ’s Market/Montgomery’s Pharmacy,49 N. Railroad St.,Hughesville,PA,17737,Lycoming,570-584-2005,Monday – Saturday: 7 a.m. – 9 p.m. / Sunday: 8 a.m. – 5 p.m.,"49 N. Railroad St.
Hughesville, PA 17737
(41.24288, -76.72457)",POINT (-76.724904 41.243071),41.243071,-76.724904,,No,Pharmacy,Active
Hatboro Police Dept.,414 South York Road,Hatboro,PA,19040,Montgomery,(215)675-4400,unknown,"414 South York Road
Hatboro, PA 19040
(40.17124, -75.11132)",POINT (-75.111234 40.171039),40.171039,-75.111234,Chief James E. Gardner,Yes,ordered 4-26-16,Active
West Mifflin Police Dept.,1020 Lebanon Road,West Mifflin,PA,15122,Allegheny,(412)461-0600,24 hours/7 days a week,"1020 Lebanon Road
West Mifflin, PA 15122
(40.3617, -79.93284)",POINT (-79.933137 40.361839),40.361839,-79.933137,Chief Kenneth Davies,Yes,Operational,Active
HUP- PERELMAN PHARMACY,"3400 CIVIC CENTER BLVD, ROOM 101W",PHILADELPHIA,PA,19104,Philadelphia,,,"3400 CIVIC CENTER BLVD, ROOM 101W
PHILADELPHIA, PA 19104
(39.94842, -75.19296)",POINT (-75.192598 39.947628),39.947628,-75.192598,,No,Pharmacy,Active
Penn Medicine Lancaster General Health Convenience (Pharmacy Duke Street),555 N Duke Street,Lancaster,PA,17602,Lancaster,717-544-5929,,"555 N Duke Street
Lancaster, PA 17602
(40.04651, -76.30393)",POINT (-76.3042918 40.047535),40.047535,-76.3042918,,No,,Active
Ohio Township Police Dept.,126 Lenzner Court,Sewickley,PA,15143,Allegheny,(412)259-8304,,"126 Lenzner Court
Sewickley, PA 15143
(40.55537, -80.10763)",POINT (-80.107771 40.555344),40.555344,-80.107771,Chief Norbert Micklos,Yes,,Active
Warren County Sheriff’s Department,407 Market St,Warren,PA,16365,Warren,,,"407 Market St
Warren, PA 16365
(41.84888, -79.14638)",POINT (-79.1468575 41.848839),41.848839,-79.1468575,,No,,Active
CareSite Pharmacy Lewistown,21 Geisinger Lane,Lewistown,PA,17044,Mifflin,717-242-4264,Monday - Thursday: 8:30 a.m. – 6 p.m./Friday: 8:30 a.m. – 5 p.m. /Saturday: 9 a.m. – noon,"21 Geisinger Lane
Lewistown, PA 17044
(40.60182, -77.55715)",POINT (-77.557618 40.60148),40.60148,-77.557618,,No,Pharmacy,Active
Robert Packer Hospital (Clinic Pharmacy),One Guthrie Square,Sayre,PA,18840,Bradford,,,"One Guthrie Square
Sayre, PA 18840
(41.98062, -76.52077)",POINT (-76.52087 41.979747),41.979747,-76.52087,,No,,Active
Gettysburg College Health Service,250 West Broadway,Gettysburg,PA,17325,Adams,(717)337-6970,,"250 West Broadway
Gettysburg, PA 17325
(39.83805, -77.23686)",POINT (-77.236885 39.838041),39.838041,-77.236885,Director Judith Williams,Yes,,Active
Quarryville Borough Police Department,300 St. Catherine Street,Quarryville,PA,17566,Lancaster,717-786-3121,,"300 St. Catherine Street
Quarryville, PA 17566
(39.89213, -76.16103)",POINT (-76.161341 39.89335),39.89335,-76.161341,,No,,Active
City of Lower Burrell Police Dept.,2800 Bethel Street,Lower Burrell,PA,15068-3227,Westmoreland,(724)339-4287,M-F 8-4,"2800 Bethel Street
Lower Burrell, PA 15068-3227
(40.5893, -79.72807)",POINT (-79.728416 40.588191),40.588191,-79.728416,Chief Tim Weitzel,Yes,Operational,Active
Walgreens Pharmacy (Allentown Location),1702  W. Tilghman Street,Allentown,PA,18104,Lehigh,610–435–3605,,"1702  W. Tilghman Street
Allentown, PA 18104
(40.60567, -75.497)",POINT (-75.497036 40.605362),40.605362,-75.497036,,No,,Active
CVS #4013,200 EAST PLANK RD.,ALTOONA,PA,16602,"BLAIR,PA",8149449224,Follows Pharmacy Hours of Operation,"200 EAST PLANK RD.
ALTOONA, PA 16602
(40.48138, -78.4021)",POINT (-78.402575 40.481961),40.481961,-78.402575,,No,Pharmacy,Active
State Police-Troop P / Laporte,5837 US Hwy 220,Laporte,PA,18626,Sullivan,,,,POINT (-76.489852 41.426794),41.426794,-76.489852,,No,,Active
"SBW PHARMACY, INC",3676 N. HERMITAGE RD.,TRANSFER,PA,16154,Mercer,,,"3676 N. HERMITAGE RD.
TRANSFER, PA 16154
(41.33177, -80.41331)",POINT (-80.412222 41.331605),41.331605,-80.412222,,No,Pharmacy,Active
Cambria Township Municipal Building,184 Municipal Road,Ebensburg,PA,15931,Cambria,,,"184 Municipal Road
Ebensburg, PA 15931
(40.49592, -78.75385)",POINT (-78.755024 40.496375),40.496375,-78.755024,,No,,Active
Moscow Borough Police Dept.,123 Van Brunt Street,Moscow,PA,18444,Lackawanna,(570)842-2061,M-F 8am-4pm,"123 Van Brunt Street
Moscow, PA 18444
(41.33584, -75.52035)",POINT (-75.5183321 41.3362619),41.3362619,-75.5183321,Chief Ivy L. Brenzel,Yes,Operational,Active
West Brandywine Township Police Department,198 Lafayette Road,Coatesville,PA,19320,Chester,(610)380-8201,24 hours/7 days a week,"198 Lafayette Road
Coatesville, PA 19320
(40.04265, -75.82403)",POINT (-75.823739 40.040979),40.040979,-75.823739,,No,Operational,Active
State Police-Troop G / Hollidaysburg,1510 N Juniata St.,Hollidaysburg,PA,16648,Blair,,,"1510 N Juniata St.
Hollidaysburg, PA 16648
(40.43512, -78.40628)",POINT (-78.405774 40.434906),40.434906,-78.405774,,No,,Active
North Sewickley Township Police Dept.,893 Mercer Road,Beaver Falls,PA,15010,Beaver,(724)843-8118,,"893 Mercer Road
Beaver Falls, PA 15010
(40.79681, -80.29067)",POINT (-80.291193 40.796873),40.796873,-80.291193,Chief Jeff Becze,Yes,,Active
Bradford County Coroner's Office,129 Canton St.,Troy,PA,16947,Bradford,(570)-297-0720,M-F 9:00 am - 5 pm,"129 Canton St.
Troy, PA 16947
(41.77665, -76.79216)",POINT (-76.789762 41.783744),41.783744,-76.789762,"Tom Carman, Coroner",No,Operational,Active
"CVS PHARMACY, L.L.C. # 01594 (DALLAS)",5 CHURCH STREET,DALLAS,PA,18612,Luzerne,,,"5 CHURCH STREET
DALLAS, PA 18612
(41.33718, -75.96314)",POINT (-75.962743 41.337437),41.337437,-75.962743,,No,Pharmacy,Active
"CVS PHARMACY, L.L.C. # 03168 (ERIE)",3800 PINE AVE,ERIE,PA,16504,Erie,,,"3800 PINE AVE
ERIE, PA 16504
(42.10809, -80.04947)",POINT (-80.049685 42.107986),42.107986,-80.049685,,No,Pharmacy,Active
Shamokin Dam Police Dept.,42 W. 8th Avenue,Shamokin Dam,PA,17876,Snyder,(570)743-2671,M-F 9-4:30,"42 W. 8th Avenue
Shamokin Dam, PA 17876
(40.853, -76.82721)",POINT (-76.8191473 40.8483068),40.8483068,-76.8191473,Chief Timothy E. Bremigen,Yes,Operational,Active
Union County Sheriff's Office,103 South 2nd Street,Lewisburg,PA,17837,Union,(570)524-8716,,"103 South 2nd Street
Lewisburg, PA 17837
(40.96356, -76.88211)",POINT (-76.8823831 40.9633115),40.9633115,-76.8823831,Sheriff Ernest R. Ritter III,Yes,Operational,Active
State Police-Troop A / Ebensburg,100 Casale Court,Ebensburg,PA,15931,Cambria,,,"100 Casale Court
Ebensburg, PA 15931
(40.46134, -78.75542)",POINT (-78.755717 40.46073),40.46073,-78.755717,,No,,Active
Colonial Regional Police Department,215 East Main Street,Bath,PA,18014,Northampton,610-861-4820,8:00 a.m. - 4:00 p.m.,"215 East Main Street
Bath, PA 18014
(40.72483, -75.39066)",POINT (-75.390479 40.725198),40.725198,-75.390479,"Liz Bottone, Records Mgr.",No,Operational,Active
CVS #1687,404 N. LOGAN BLVD.,BURNHAM,PA,17009,"MIFFLIN,PA",7172483991,Follows Pharmacy Hours of Operation,"404 N. LOGAN BLVD.
BURNHAM, PA 17009
(40.63268, -77.57069)",POINT (-77.571211 40.632403),40.632403,-77.571211,,No,Pharmacy,Active
Carlisle Borough Police Dept.,240 Lincoln Street,Carlisle,PA,17013,Cumberland,(717)243-5252,M-F 7am-11pm,"240 Lincoln Street
Carlisle, PA 17013
(40.20676, -77.19435)",POINT (-77.1943684 40.2065186),40.2065186,-77.1943684,Chief Stephen Margeson,Yes,Operational,Active
Giant Eagle Pharmacy #2415,1521 N. Main St.,Butler,PA,16001,Butler,(724) 282-9160,Pharmacy Hours,"1521 N. Main St.
Butler, PA 16001
(40.89646, -79.90771)",POINT (-79.907456 40.89588),40.89588,-79.907456,,No,Pharmacy,Active
Middleburg Police Dept.,13 N. Main Street,Middleburg,PA,17842,Snyder,(570)837-0321,M-F 8-4,"13 N. Main Street
Middleburg, PA 17842
(40.79288, -77.0462)",POINT (-77.0466579 40.792812),40.792812,-77.0466579,Chief Tony M. Jordan,Yes,Operational,Active
State Police-Troop D / Mercer,826 Franklin Rd.,Mercer,PA,16137,Mercer,,,"826 Franklin Rd.
Mercer, PA 16137
(41.26374, -80.17494)",POINT (-78.684732 41.676457),41.676457,-78.684732,,No,,Active
